,1,2,3,4,5,6,7,8
1,238,252,255,268,229,253,223,203
2,281,351,251,255,278,215,191,202
3,337,261,230,256,221,258,215,216
4,269,257,246,258,229,226,232,224
5,226,240,231,259,239,269,247,202
6,253,265,221,235,217,239,218,212
7,213,251,240,240,214,257,204,230
8,271,175,245,264,210,238,211,210
9,234,243,252,246,217,221,240,318
10,226,281,243,265,216,223,222,250
11,231,227,258,234,275,224,242,207
12,305,251,264,247,241,214,203,190
13,211,209,250,254,248,234,198,233
14,292,243,248,235,220,232,246,244
15,312,278,245,267,184,285,219,
16,253,317,223,272,,,188,
